user_input,retrieved_contexts,response
¿Quién fue Joaquín Sorolla?,"Joaquín Sorolla y Bastida (Valencia, 27 de febrero de 1863-Cercedilla, 10 de agosto de 1923) fue un pintor español. Artista prolífico, dejó más de 2200 obras catalogadas. Su obra madura ha sido etiquetada como impresionista, postimpresionista y luminista.

# Fechas importantes de la vida de Joaquín Sorolla: 1863: El 27 de febrero de 1863 nace Joaquín Sorolla en Valencia. Sus padres Joaquín Sorolla Garcón y María Concepción Bastida Prat son modestos comerciantes de telas, que mueren en una epidemia cuando Sorolla apenas contaba dos años. Es recogido junto con su hermana por sus tíos maternos

. En vida de Joaquín Sorolla esta estancia tuvo diversos usos: sirvió como estudio para exponer la obra del pintor, aquí se organizó en 1912 la exposición homenaje al pintor Aureliano Beruete, íntimo amigo de Sorolla y, seguramente, fue el espacio donde se almacenaron los cuadros para el encargo de la Hispanic Society of America de Nueva York, que por contrato no podían verse antes de su inauguración en EEUU

SALA I- Biografía: Joaquín Sorolla (1863-1923) es uno de los grandes nombres de la pintura española del siglo XX, y ha llegado hasta nosotros como el creador de la imagen optimista de una España luminosa y mediterránea. Junto con Velázquez y Goya, Sorolla es, probablemente, el artista español más querido y popular.Su pintura se enmarca en las corrientes naturalistas de fin de siglo, y numerosos especialistas se han referido a ella como “impresionista” o “luminista”","Joaquín Sorolla y Bastida fue un pintor español nacido en Valencia el 27 de febrero de 1863 y fallecido en Cercedilla el 10 de agosto de 1923. Fue un artista prolífico que dejó más de 2200 obras catalogadas y su estilo ha sido etiquetado como impresionista, postimpresionista y luminista. Es considerado uno de los grandes nombres de la pintura española del siglo XX y es conocido por crear la imagen optimista de una España luminosa y mediterránea."
¿Qué importancia tiene la luz en la pintura de Sorolla?,". La amplitud de esta sala bañada por la luz natural, gracias a la presencia de grandes claraboyas y ventanales, la abundancia de objetos personales y de trabajo, y la cantidad y calidad de cuadros de Sorolla que cuelgan de sus paredes, hacen de este espacio un lugar único, detenido en el tiempo, donde la personalidad de Sorolla no se manifiesta solo en su obra pictórica, sino también en un ambiente, en un espacio vivido

.Sorolla no se identificó con los impresionistas pero conoció bien las obras de estos artistas y asimiló su nuevo uso del color, su forma de aplicarlo en pinceladas independientes, apenas mezcladas, para conservar su frescura, sus formas de composición inspiradas en el reciente invento de la fotografía, y sobre todo su absoluta creencia en la necesidad de pintar del natural y, a ser posible, al aire libre

. En vida de Joaquín Sorolla esta estancia tuvo diversos usos: sirvió como estudio para exponer la obra del pintor, aquí se organizó en 1912 la exposición homenaje al pintor Aureliano Beruete, íntimo amigo de Sorolla y, seguramente, fue el espacio donde se almacenaron los cuadros para el encargo de la Hispanic Society of America de Nueva York, que por contrato no podían verse antes de su inauguración en EEUU

Sala III: El estudio de Sorolla, el espacio más representativo del Museo. Uno de los talleres de artista mejor conservados.Conserva todavía los utensilios de trabajo del pintor (caballetes, paletas, pinceles) así como otros objetos artísticos de los que le gustaba rodearse. El estudio contiene algunas de las obras más conocidas del artista, como la emblemática ""Paseo a orillas del mar""","No he encontrado información específica sobre la importancia de la luz en la pintura de Sorolla en el contexto proporcionado. Sin embargo, se menciona que Sorolla asimiló el nuevo uso del color de los impresionistas y su forma de pintar del natural y al aire libre, lo que sugiere que la luz natural podría haber sido importante en su proceso creativo. Además, se destaca la amplitud de la sala del estudio bañada por la luz natural, lo que podría indicar que la luz era un elemento apreciado por el artista en su entorno de trabajo."
¿Cuál es la historia del Museo Sorolla?,"# Datos identificativos del Museo: El Museo Sorolla es un museo de titularidad estatal y gestión directa del Ministerio de Cultura y Deporte, que depende orgánicamente de la Dirección General de Patrimonio Cultural y Bellas Artes a través de la Subdirección General de Museos Estatales. Está dedicado a mostrar la obra del pintor Joaquín Sorolla (Valencia, 1863-Cercedilla, Madrid 1923). Fue creado en 1931, al aceptar el Estado español el legado de la viuda de Sorolla, D

# Historia de la Fundación: La Fundación Museo Sorolla se creó a partir del Legado de Clotilde García del Castillo, viuda del pintor, que en su testamento de 1925 legó al Estado Español los “cuadros, apuntes y dibujos” de Joaquín Sorolla que a ella pertenecían y la casa familiar con los objetos artísticos allí colocados, para que se creara un museo en memoria de su marido

El Museo Sorolla es un museo estatal español ubicado en un palacete del paseo del General Martínez Campos de Madrid, emplazamiento que sirvió de taller y vivienda al pintor Joaquín Sorolla (1863-1923) junto a su mujer, Clotilde García del Castillo, y sus tres hijos.

. El museo se inauguró en 1932, abriendo al público su planta principal. Era director Joaquín Sorolla y García, hijo del pintor.En aquellos primeros años la labor de Joaquín Sorolla García fue, por un lado, la de conservar la casa museo tal y como él la había conocido como habitante de la misma y, por otro lado, acometer las primeras labores museográficas de la institución","La historia del Museo Sorolla comienza con el legado de Clotilde García del Castillo, viuda del pintor Joaquín Sorolla, quien en su testamento de 1925 legó al Estado Español los cuadros, apuntes y dibujos de su marido, así como la casa familiar con los objetos artísticos que contenía, con el fin de crear un museo en su memoria. El museo se creó en 1931 y se inauguró en 1932, bajo la dirección de Joaquín Sorolla y García, hijo del pintor. En sus primeros años, la labor del director se centró en conservar la casa museo tal como era y en realizar las primeras labores museográficas de la institución."
¿Dónde se encuentra la casa de Sorolla?,"# El edificio del museo: la casa Sorolla. Desde sus primeras estancias en Madrid en la década de 1880 hasta la construcción de su casa en 1911, Sorolla tuvo diversos estudios y domicilios en distintos lugares de la ciudad (Plaza el Progreso, Pasaje de la Alhambra, calle Miguel Ángel), y poco a poco se fue formando una idea muy clara de lo que quería para vivir y trabajar, especialmente a partir de su estancia en el último estudio-vivienda de la calle Miguel Ángel.

Un nuevo proyecto: la casa Sorolla. En 1905, el pintor adquirió un solar en el paseo del Obelisco de Madrid (luego calle del General Martínez Campos), junto a la residencia de la actriz María Guerrero. En 1909, encargó el proyecto al arquitecto Enrique María de Repullés y Vargas. Poco después compró un segundo solar contiguo que le permitiría ampliar la zona construida e incorporar tres jardines a la vivienda

Sede
La casa-museo Sorolla, situada en el Paseo del General Martínez Campos n.º 37 en Madrid, fue construida en 1911, materializando los deseos del pintor Joaquín Sorolla y Bastida de crear un espacio que fusionase el área de trabajo y su vivienda, y que además contase con un espacio de jardín.

. A finales de año la familia se traslada a su nueva casa. 1919: Desde que empieza a trabajar (1912) en el encargo de la Visión de España, con sus paneles gigantescos, Sorolla se somete a continuos viajes, a veces en duras condiciones, lo que va haciendo mella en su salud",La casa de Sorolla se encuentra en el Paseo del General Martínez Campos n.º 37 en Madrid.
Enumera 5 fechas de la vida de Joaquín Sorolla,"# Fechas importantes de la vida de Joaquín Sorolla: 1863: El 27 de febrero de 1863 nace Joaquín Sorolla en Valencia. Sus padres Joaquín Sorolla Garcón y María Concepción Bastida Prat son modestos comerciantes de telas, que mueren en una epidemia cuando Sorolla apenas contaba dos años. Es recogido junto con su hermana por sus tíos maternos

Joaquín Sorolla y Bastida (Valencia, 27 de febrero de 1863-Cercedilla, 10 de agosto de 1923) fue un pintor español. Artista prolífico, dejó más de 2200 obras catalogadas. Su obra madura ha sido etiquetada como impresionista, postimpresionista y luminista.

Joaquín Sorolla 
Información personal
Nombre de nacimiento	Joaquín Sorolla Bastida
Nacimiento	27 de febrero de 1863 
Valencia (España) 
Fallecimiento	10 de agosto de 1923  (60 años)
Cercedilla (España)
Sepultura	Cementerio General de Valencia 
Nacionalidad	Española
Familia: Cónyuge	Clotilde García del Castillo (matr. 1888)
Hijos: Joaquín Sorolla García, Elena Sorolla García, María Sorolla García
Educación: Educado en	Real Academia de Bellas Artes de San Carlos

Muerto Joaquín Sorolla García el 2 de marzo de 1948 y como expresaba en su testamento, sus propiedades pasaron a la Fundación del Museo​ y tres años después, por una Orden Ministerial del 16 de julio de 1951, se acepta su legado y se añade al de su madre,​ sumándose 156 obras más a los fondos de la Fundación.​ La dirección fue asumida por Francisco Pons-Sorolla, nieto del pintor e hijo de María Sorolla García y Francisco Pons Arnau","A continuación, te proporciono 5 fechas importantes de la vida de Joaquín Sorolla:

1. 27 de febrero de 1863: Nacimiento de Joaquín Sorolla en Valencia.
2. 1888: Año en que se casó con Clotilde García del Castillo.
3. 2 de marzo de 1948: Fallecimiento de Joaquín Sorolla García, hijo del pintor.
4. 16 de julio de 1951: Fecha en que se acepta el legado de Joaquín Sorolla García y se añaden 156 obras más a los fondos de la Fundación del Museo.
5. 10 de agosto de 1923: Fallecimiento de Joaquín Sorolla en Cercedilla, a la edad de 60 años."
¿Qué influencia tuvo Sorolla en el arte español?,". Este estaba compuesta en un primer momento por los hijos de Sorolla; María, Joaquín y Elena; representantes de diversas instituciones estatales; el Jefe del Estado, que ocupaba la presidencia; el Ministro de Instrucción Pública y Bellas Artes; así como el presidente de la Hispanic Society of America,​ para la cual el pintor había realizado uno de los proyectos más ambiciosos de toda su producción artística

. En vida de Joaquín Sorolla esta estancia tuvo diversos usos: sirvió como estudio para exponer la obra del pintor, aquí se organizó en 1912 la exposición homenaje al pintor Aureliano Beruete, íntimo amigo de Sorolla y, seguramente, fue el espacio donde se almacenaron los cuadros para el encargo de la Hispanic Society of America de Nueva York, que por contrato no podían verse antes de su inauguración en EEUU

Joaquín Sorolla y Bastida (Valencia, 27 de febrero de 1863-Cercedilla, 10 de agosto de 1923) fue un pintor español. Artista prolífico, dejó más de 2200 obras catalogadas. Su obra madura ha sido etiquetada como impresionista, postimpresionista y luminista.

. Sorolla estuvo en el mes de enero de 1901 en el estudio de escultura, posando de modelo durante veinte días para su amigo Causarás, que, además de esculpir su estatua, también esculpió aparte un busto-retrato de su cabeza, solamente en terracota, y el vaciado en yeso de la mano derecha de Sorolla en posición de pintar",No he encontrado información sobre la influencia de Sorolla en el arte español en el contexto proporcionado.
¿Quiénes fueron los amigos de Sorolla?,". En vida de Joaquín Sorolla esta estancia tuvo diversos usos: sirvió como estudio para exponer la obra del pintor, aquí se organizó en 1912 la exposición homenaje al pintor Aureliano Beruete, íntimo amigo de Sorolla y, seguramente, fue el espacio donde se almacenaron los cuadros para el encargo de la Hispanic Society of America de Nueva York, que por contrato no podían verse antes de su inauguración en EEUU

Muerto Joaquín Sorolla García el 2 de marzo de 1948 y como expresaba en su testamento, sus propiedades pasaron a la Fundación del Museo​ y tres años después, por una Orden Ministerial del 16 de julio de 1951, se acepta su legado y se añade al de su madre,​ sumándose 156 obras más a los fondos de la Fundación.​ La dirección fue asumida por Francisco Pons-Sorolla, nieto del pintor e hijo de María Sorolla García y Francisco Pons Arnau

. Este estaba compuesta en un primer momento por los hijos de Sorolla; María, Joaquín y Elena; representantes de diversas instituciones estatales; el Jefe del Estado, que ocupaba la presidencia; el Ministro de Instrucción Pública y Bellas Artes; así como el presidente de la Hispanic Society of America,​ para la cual el pintor había realizado uno de los proyectos más ambiciosos de toda su producción artística

Joaquín Sorolla 
Información personal
Nombre de nacimiento	Joaquín Sorolla Bastida
Nacimiento	27 de febrero de 1863 
Valencia (España) 
Fallecimiento	10 de agosto de 1923  (60 años)
Cercedilla (España)
Sepultura	Cementerio General de Valencia 
Nacionalidad	Española
Familia: Cónyuge	Clotilde García del Castillo (matr. 1888)
Hijos: Joaquín Sorolla García, Elena Sorolla García, María Sorolla García
Educación: Educado en	Real Academia de Bellas Artes de San Carlos","Según la información proporcionada, uno de los amigos íntimos de Sorolla fue el pintor Aureliano Beruete. No he encontrado información sobre otros amigos específicos del artista."
¿Cómo se conserva la colección actualmente?,"Las colecciones del museo están compuestas por obras del propio Sorolla, objetos personales, así como muchos otros que como coleccionista reunió durante su vida. Del mismo modo, entre la colección se encuentran obras de sus familiares más allegados, como sus hijas María y Helena Sorolla, y de su yerno, Francisco Pons Arnau. La mayor parte de esta proviene del legado y las donaciones realizadas por los propios familiares del pintor, como son su mujer y sus tres hijos

-Mobiliario: La colección de muebles está constituida por 184 piezas que servían a la familia en su vivienda y que en su mayoría se conservan in situ

. Este estaba compuesta en un primer momento por los hijos de Sorolla; María, Joaquín y Elena; representantes de diversas instituciones estatales; el Jefe del Estado, que ocupaba la presidencia; el Ministro de Instrucción Pública y Bellas Artes; así como el presidente de la Hispanic Society of America,​ para la cual el pintor había realizado uno de los proyectos más ambiciosos de toda su producción artística

Colecciones (Pintura,Dibujo, Escultura, Cerámica, Joyería, Textiles, Mobiliario, Miscelánea, Fotografía antigua)",No he encontrado información sobre cómo se conserva la colección actualmente.
¿Qué relación tenía Sorolla con Valencia?,"Por aquel entonces Valencia lo nombró hijo predilecto y meritorio, y le fue dado su nombre a una calle. Tras muchos viajes por Europa, principalmente Inglaterra y Francia, celebró una exposición en París con más de medio millar de obras, lo que le dio un reconocimiento internacional inusitado, conociéndose su obra pictórica por toda Europa y América.

Estudió dibujo en la ""Escuela de Artesanos de Valencia"".​ Compartió estudio en la planta baja de la calle Las Avellanas n.º 12 de Valencia con José Vilar y Torres, los hermanos Benlliure —Blas, José y Juan Antonio— e Ignacio Pinazo Camarlench

. Necesitó casi todo el año de 1912 para viajar por todo el país, haciendo bocetos y trabajos de costumbres y paisajes. De esta tarea destacan los óleos pintados en 1916 dedicados a niños y mujeres en las playas de Valencia, donde predomina la libertad de pincelada y la luz de su tierra. Algunos ejemplos son Madre e hija o Pescadora valenciana.

. La exposición se muestra a continuación en la Fine Arts Academy de Búfalo y en la Copley Society de Boston. Ese verano, en un clima de euforia por el éxito obtenido, lo pasa en Valencia con su familia, y en sus playas realiza Sorolla algunas de sus obras más famosas: Paseo a orillas del mar, El baño del caballo o El balandrito. 1910: Sorolla comienza a construir su casa en el entonces Paseo del Obelisco, hoy Pº del General Martínez Campos 37","Sorolla tenía una relación muy estrecha con Valencia, ya que estudió dibujo en la ""Escuela de Artesanos de Valencia"" y compartió estudio con otros artistas en la ciudad. Además, Valencia lo nombró hijo predilecto y meritorio, y le dedicó una calle con su nombre. Sorolla también pasó mucho tiempo en Valencia con su familia y creó algunas de sus obras más famosas en las playas de la ciudad, como ""Paseo a orillas del mar"", ""El baño del caballo"" o ""El balandrito"". Incluso construyó su casa en el Paseo del Obelisco, hoy Pº del General Martínez Campos 37."
¿Cuál es el contexto histórico del impresionismo?,"En agosto de 1900, estando en Valencia, su amigo el escultor Ricardo Causarás Casaña fue a visitar a Sorolla para pedirle que posara de modelo vivo para esculpir una estatua de terracota y yeso, algo mayor del natural, que Causarás tenía pensado exponer en la Exposición Nacional de Bellas Artes de Madrid del año 1901

.​ Al acabar su formación comenzó a enviar sus obras a concursos provinciales y exposiciones nacionales de bellas artes, como la de Madrid en mayo de 1881, donde presentó tres marinas valencianas que pasaron inadvertidas, pues no encajaban con la pintura oficial, de temática histórica y dramática.

#El encargo de la Hispanic Society: En noviembre de ese mismo año firmó un encargo para la Sociedad Hispánica de América, por el que realizaría catorce murales que decorarían las salas de la institución, y dedicados a las Regiones de España. Con esta obra realizada entre 1913 y 1919, de tres metros y medio de alto por setenta metros de largo, alzó un imborrable monumento a España, pues en ella se representaban escenas características de diversas provincias tanto españolas como portuguesas

Ya en el año 1980 se propone un proyecto de ampliación del museo con motivo del cincuenta aniversario de su apertura, lo que le proporcionaría nuevas salas de exposición que más tarde tuvieron que ser cerradas para destinarse al almacenaje de la colección","No he encontrado información sobre el contexto histórico del impresionismo en el texto proporcionado. El texto se centra en la vida y obra de Sorolla, así como en la historia del Museo Sorolla, pero no menciona el impresionismo."
