user_input,retrieved_contexts,response,reference,llm_context_precision_with_reference,context_recall,factual_correctness(mode=f1),nv_accuracy
¿Dónde se encuentra la casa de Sorolla?,"['# El edificio del museo: la casa Sorolla. Desde sus primeras estancias en Madrid en la década de 1880 hasta la construcción de su casa en 1911, Sorolla tuvo diversos estudios y domicilios en distintos lugares de la ciudad (Plaza el Progreso, Pasaje de la Alhambra, calle Miguel Ángel), y poco a poco se fue formando una idea muy clara de lo que quería para vivir y trabajar, especialmente a partir de su estancia en el último estudio-vivienda de la calle Miguel Ángel.\n\nUn nuevo proyecto: la casa Sorolla. En 1905, el pintor adquirió un solar en el paseo del Obelisco de Madrid (luego calle del General Martínez Campos), junto a la residencia de la actriz María Guerrero. En 1909, encargó el proyecto al arquitecto Enrique María de Repullés y Vargas. Poco después compró un segundo solar contiguo que le permitiría ampliar la zona construida e incorporar tres jardines a la vivienda\n\nSede\nLa casa-museo Sorolla, situada en el Paseo del General Martínez Campos n.º 37 en Madrid, fue construida en 1911, materializando los deseos del pintor Joaquín Sorolla y Bastida de crear un espacio que fusionase el área de trabajo y su vivienda, y que además contase con un espacio de jardín.\n\n. A finales de año la familia se traslada a su nueva casa. 1919: Desde que empieza a trabajar (1912) en el encargo de la Visión de España, con sus paneles gigantescos, Sorolla se somete a continuos viajes, a veces en duras condiciones, lo que va haciendo mella en su salud']",La casa de Sorolla se encuentra en el Paseo del General Martínez Campos n.º 37 en Madrid.,"La casa de Sorolla se encuentra en Madrid, en la calle General Martínez Campos.",0.9999999999,1.0,,1.0
"Cómo se llama el estilo artístico de Sorolla?

","['.Sorolla no se identificó con los impresionistas pero conoció bien las obras de estos artistas y asimiló su nuevo uso del color, su forma de aplicarlo en pinceladas independientes, apenas mezcladas, para conservar su frescura, sus formas de composición inspiradas en el reciente invento de la fotografía, y sobre todo su absoluta creencia en la necesidad de pintar del natural y, a ser posible, al aire libre\n\nSala III: El estudio de Sorolla, el espacio más representativo del Museo. Uno de los talleres de artista mejor conservados.Conserva todavía los utensilios de trabajo del pintor (caballetes, paletas, pinceles) así como otros objetos artísticos de los que le gustaba rodearse. El estudio contiene algunas de las obras más conocidas del artista, como la emblemática ""Paseo a orillas del mar""\n\n. Este estaba compuesta en un primer momento por los hijos de Sorolla; María, Joaquín y Elena; representantes de diversas instituciones estatales; el Jefe del Estado, que ocupaba la presidencia; el Ministro de Instrucción Pública y Bellas Artes; así como el presidente de la Hispanic Society of America,\u200b para la cual el pintor había realizado uno de los proyectos más ambiciosos de toda su producción artística\n\nJoaquín Sorolla y Bastida (Valencia, 27 de febrero de 1863-Cercedilla, 10 de agosto de 1923) fue un pintor español. Artista prolífico, dejó más de 2200 obras catalogadas. Su obra madura ha sido etiquetada como impresionista, postimpresionista y luminista.']","Su estilo artístico ha sido etiquetado como impresionista, postimpresionista y luminista.","El estilo de pintura de Sorolla se caracteriza por el uso de la luz natural y los colores vibrantes, a menudo asociado con el impresionismo o luminismo.",0.9999999999,1.0,,1.0
¿Cómo se llamaban hijos tuvo Joaquín Sorolla?,"['. Este estaba compuesta en un primer momento por los hijos de Sorolla; María, Joaquín y Elena; representantes de diversas instituciones estatales; el Jefe del Estado, que ocupaba la presidencia; el Ministro de Instrucción Pública y Bellas Artes; así como el presidente de la Hispanic Society of America,\u200b para la cual el pintor había realizado uno de los proyectos más ambiciosos de toda su producción artística\n\n. En vida de Joaquín Sorolla esta estancia tuvo diversos usos: sirvió como estudio para exponer la obra del pintor, aquí se organizó en 1912 la exposición homenaje al pintor Aureliano Beruete, íntimo amigo de Sorolla y, seguramente, fue el espacio donde se almacenaron los cuadros para el encargo de la Hispanic Society of America de Nueva York, que por contrato no podían verse antes de su inauguración en EEUU\n\n# Fechas importantes de la vida de Joaquín Sorolla: 1863: El 27 de febrero de 1863 nace Joaquín Sorolla en Valencia. Sus padres Joaquín Sorolla Garcón y María Concepción Bastida Prat son modestos comerciantes de telas, que mueren en una epidemia cuando Sorolla apenas contaba dos años. Es recogido junto con su hermana por sus tíos maternos\n\n. En esta sala nos recibe la familia Sorolla a través de una selección de retratos que nos presentan a sus tres hijos: María, Joaquín y Elena y su esposa, Clotilde García del Castillo. En ellos se plasma la capacidad del artista para captar un recuerdo familiar, íntimo y personal. Retratos que nos trasladan unas veces al norte de España y a Biarrtiz y que nos dejan adivinar el veraneo elegante que compartió el pintor con su familia']","Los hijos de Joaquín Sorolla se llamaban María, Joaquín y Elena.","Joaquín Sorolla tuvo tres hijos: María, Joaquín y Elena.",0.9999999999,1.0,,1.0
¿En qué año se inauguró el Museo Sorolla?,"['. El museo se inauguró en 1932, abriendo al público su planta principal. Era director Joaquín Sorolla y García, hijo del pintor.En aquellos primeros años la labor de Joaquín Sorolla García fue, por un lado, la de conservar la casa museo tal y como él la había conocido como habitante de la misma y, por otro lado, acometer las primeras labores museográficas de la institución\n\n# Datos identificativos del Museo: El Museo Sorolla es un museo de titularidad estatal y gestión directa del Ministerio de Cultura y Deporte, que depende orgánicamente de la Dirección General de Patrimonio Cultural y Bellas Artes a través de la Subdirección General de Museos Estatales. Está dedicado a mostrar la obra del pintor Joaquín Sorolla (Valencia, 1863-Cercedilla, Madrid 1923). Fue creado en 1931, al aceptar el Estado español el legado de la viuda de Sorolla, D\n\nEl Museo Sorolla es un museo estatal español ubicado en un palacete del paseo del General Martínez Campos de Madrid, emplazamiento que sirvió de taller y vivienda al pintor Joaquín Sorolla (1863-1923) junto a su mujer, Clotilde García del Castillo, y sus tres hijos.\n\n# Titularidad y gestión: El Museo Sorolla es un museo de titularidad estatal y gestión directa del Ministerio de Cultura. Se rige por la Ley 16/1985, de 25 de junio, de Patrimonio Histórico EspañolEnlace externo, se abre en ventana nueva Nueva ventanay por el Reglamento de Museos de Titularidad Estatal y del Sistema Español de Museos (RD 620/1987, de 10 de abril)Enlace externo, se abre en ventana nueva Nueva ventana.\n\n# Dirección: Enrique Varela Agüí']",El Museo Sorolla se inauguró en 1932.,El Museo Sorolla se inauguró en 1932.,0.9999999999,1.0,,1.0
Dime el horario de visita,"['# Horarios de visita: De martes a sábado: de 9:30 a 20:00 horas, Domingos y festivos: de 10:00 a 15:00 horas. Cerrado Todos los lunes; el 1 y 6 de enero; el 1 de mayo; el 9 de noviembre (festividad de la Almudena), y los días 24, 25 y 31 de diciembre.\n\nInformación para visitantes\nVisitantes\t346 104 (2023)\nHorario\tDe martes a sábado de 9:30 a 20:00\nDomingo y festivos de 10:00 a 15:00\n\n# visita virtual: También puedes visitar virtualmente la casa-museo, conforme el aspecto que tenía antes del cierre de la institución, en 2024. A través de imágenes de alta calidad es posible recorrer las salas y jardines del Museo Sorolla, explorar sus espacios singulares y conocer más sobre las principales piezas de su colección\n\n- Visitas guiadas realizadas en el año dirigidas a diferentes colectivos. Visitas guiadas realizadas al año para personas con diferentes capacidades.\n- Actividades culturales organizadas en colaboración con otras instituciones.\n- Contestaciones enviadas a las peticiones de visitas guiadas para grupos en el plazo de diez días hábiles desde su recepción y porcentaje sobre el total.']","El horario de visita del Museo Sorolla es el siguiente: 

- De martes a sábado: de 9:30 a 20:00 horas
- Domingos y festivos: de 10:00 a 15:00 horas

Está cerrado todos los lunes, así como en algunas fechas específicas como el 1 y 6 de enero, el 1 de mayo, el 9 de noviembre y los días 24, 25 y 31 de diciembre.","El horario de visita del Museo Sorolla es de martes a sábado de 9:30 a 20:00 y domingos de 10:00 a 15:00, cerrando los lunes.",0.9999999999,1.0,,1.0
Tarifas de las entradas del museo,"['Servicios del Museo\n\nEl 27 de abril de 1973 el museo fue incorporado al Patronato Nacional de Museos —suprimido en 1985—, lo que conllevó una mayor profesionalización en su administración, con un conservador-director perteneciente al cuerpo facultativo de conservadores de museos al frente de su gestión. Desde 2009 es un museo nacional de España, adscrito al Ministerio de Cultura con gestión exclusiva de la Dirección General de Bellas Artes\n\nOficina, biblioteca y archivo y atención telefónica: De lunes a viernes: de 9:00 a 14:00 horas.\n\x84\n# Tarifas Precios entradas del museo: Tarifa general: 3,00 €, Tarifa reducida: 1,50 €, Tarjeta anual de museos estatales: 36,06 €, Tarjeta anual del Museo Sorolla: 25,00 €, Tarjeta ocho museos de Madrid: 16 €, Abono cinco museos: 12 €, Abono cuatro museos: 8 €\n\n. Esta integración marcó el inicio de una creciente profesionalización del museo, que pasó a estar gestionado por un conservador-director perteneciente al cuerpo facultativo de conservadores de museos. 1993: La integración en el sistema Español de Museos: El cambio decisivo en la situación jurídica de la Fundación y el Museo se produjo en 1993, por el Real Decreto 1386/1993, de 30 de julio']","Las tarifas de las entradas del Museo Sorolla son las siguientes:

- Tarifa general: 3,00 €
- Tarifa reducida: 1,50 €
- Tarjeta anual de museos estatales: 36,06 €
- Tarjeta anual del Museo Sorolla: 25,00 €
- Tarjeta ocho museos de Madrid: 16 €
- Abono cinco museos: 12 €
- Abono cuatro museos: 8 €","Tarifas de las entradas museo: Tarifa general: 3,00 €, Tarifa reducida: 1,50 €, Tarjeta anual de museos estatales: 36,06 €, Tarjeta anual del Museo Sorolla: 25,00 €, Tarjeta ocho museos de Madrid: 16 €, Abono cinco museos: 12 €, Abono cuatro museos: 8 €",0.9999999999,1.0,,1.0
Enumera las salas del museo,"['Servicios del Museo\n\nPara la habilitación del edificio como museo, gran parte de su estructuramiento interno fue reformado, a excepción de parte de la planta baja. De este modo, las salas correspondientes en la actualidad a la I, II y III, en su momento conformaban los tres estudios del pintor. La sala I era utilizada como almacén, la II para la exposición de obras del artista y la sala III era el estudio propiamente dicho\n\nEl 27 de abril de 1973 el museo fue incorporado al Patronato Nacional de Museos —suprimido en 1985—, lo que conllevó una mayor profesionalización en su administración, con un conservador-director perteneciente al cuerpo facultativo de conservadores de museos al frente de su gestión. Desde 2009 es un museo nacional de España, adscrito al Ministerio de Cultura con gestión exclusiva de la Dirección General de Bellas Artes\n\n# Publicaciones:El Museo publica guías y catálogos de la colección o de exposiciones temporales, y folletos de actividades culturales y educativas programadas por el Museo. Distribuidas en cada una de las salas de la exposición permanente se encuentran a disposición del público hojas de sala en tres idiomas.']","Las salas del museo mencionadas son:

1. Sala I (utilizada como almacén)
2. Sala II (para la exposición de obras del artista)
3. Sala III (el estudio propiamente dicho del pintor)

No he encontrado información sobre otras salas en el contexto proporcionado.","Las salas del museo incluyen las Salas I, II, II, el comedor, el salón, el patio andaluz y el jardín.",0.0,0.5,,0.5
¿Cuándo nació Joaquín Sorolla?,"['# Fechas importantes de la vida de Joaquín Sorolla: 1863: El 27 de febrero de 1863 nace Joaquín Sorolla en Valencia. Sus padres Joaquín Sorolla Garcón y María Concepción Bastida Prat son modestos comerciantes de telas, que mueren en una epidemia cuando Sorolla apenas contaba dos años. Es recogido junto con su hermana por sus tíos maternos\n\nJoaquín Sorolla y Bastida (Valencia, 27 de febrero de 1863-Cercedilla, 10 de agosto de 1923) fue un pintor español. Artista prolífico, dejó más de 2200 obras catalogadas. Su obra madura ha sido etiquetada como impresionista, postimpresionista y luminista.\n\n. En vida de Joaquín Sorolla esta estancia tuvo diversos usos: sirvió como estudio para exponer la obra del pintor, aquí se organizó en 1912 la exposición homenaje al pintor Aureliano Beruete, íntimo amigo de Sorolla y, seguramente, fue el espacio donde se almacenaron los cuadros para el encargo de la Hispanic Society of America de Nueva York, que por contrato no podían verse antes de su inauguración en EEUU\n\nJoaquín Sorolla \nInformación personal\nNombre de nacimiento\tJoaquín Sorolla Bastida\nNacimiento\t27 de febrero de 1863 \nValencia (España) \nFallecimiento\t10 de agosto de 1923  (60 años)\nCercedilla (España)\nSepultura\tCementerio General de Valencia \nNacionalidad\tEspañola\nFamilia: Cónyuge\tClotilde García del Castillo (matr. 1888)\nHijos: Joaquín Sorolla García, Elena Sorolla García, María Sorolla García\nEducación: Educado en\tReal Academia de Bellas Artes de San Carlos']","Joaquín Sorolla nació el 27 de febrero de 1863 en Valencia, España.",Joaquín Sorolla nació el 27 de febrero de 1863 en Valencia.,0.9999999999,1.0,,1.0
¿Dónde murió Joaquín Sorolla?,"['Joaquín Sorolla y Bastida (Valencia, 27 de febrero de 1863-Cercedilla, 10 de agosto de 1923) fue un pintor español. Artista prolífico, dejó más de 2200 obras catalogadas. Su obra madura ha sido etiquetada como impresionista, postimpresionista y luminista.\n\n# Fechas importantes de la vida de Joaquín Sorolla: 1863: El 27 de febrero de 1863 nace Joaquín Sorolla en Valencia. Sus padres Joaquín Sorolla Garcón y María Concepción Bastida Prat son modestos comerciantes de telas, que mueren en una epidemia cuando Sorolla apenas contaba dos años. Es recogido junto con su hermana por sus tíos maternos\n\nMuerto Joaquín Sorolla García el 2 de marzo de 1948 y como expresaba en su testamento, sus propiedades pasaron a la Fundación del Museo\u200b y tres años después, por una Orden Ministerial del 16 de julio de 1951, se acepta su legado y se añade al de su madre,\u200b sumándose 156 obras más a los fondos de la Fundación.\u200b La dirección fue asumida por Francisco Pons-Sorolla, nieto del pintor e hijo de María Sorolla García y Francisco Pons Arnau\n\n. En vida de Joaquín Sorolla esta estancia tuvo diversos usos: sirvió como estudio para exponer la obra del pintor, aquí se organizó en 1912 la exposición homenaje al pintor Aureliano Beruete, íntimo amigo de Sorolla y, seguramente, fue el espacio donde se almacenaron los cuadros para el encargo de la Hispanic Society of America de Nueva York, que por contrato no podían verse antes de su inauguración en EEUU']","Joaquín Sorolla murió en Cercedilla, el 10 de agosto de 1923.","Joaquín Sorolla murió en Cercedilla, Madrid.",0.9999999999,1.0,1.0,1.0
¿Cuándo falleció Joaquiín Sorolla y Bastida?,"['Joaquín Sorolla y Bastida (Valencia, 27 de febrero de 1863-Cercedilla, 10 de agosto de 1923) fue un pintor español. Artista prolífico, dejó más de 2200 obras catalogadas. Su obra madura ha sido etiquetada como impresionista, postimpresionista y luminista.\n\n. La amplitud de esta sala bañada por la luz natural, gracias a la presencia de grandes claraboyas y ventanales, la abundancia de objetos personales y de trabajo, y la cantidad y calidad de cuadros de Sorolla que cuelgan de sus paredes, hacen de este espacio un lugar único, detenido en el tiempo, donde la personalidad de Sorolla no se manifiesta solo en su obra pictórica, sino también en un ambiente, en un espacio vivido\n\n. Cuando “descansa” del encargo, hace algunas de sus obras más deslumbrantes, como La bata rosa (1916), y encuentra refugio en el jardín de su nueva casa, que él mismo diseña y luego pinta en algunos cuadros especialmente íntimos y personales. 1920: Mientras retrataba a la Señora Pérez de Ayala en el Jardín de su casa Sorolla sufre una hemiplejia que le dejará imposibilitado. Nunca más volverá a pintar. 1923: Muere en Cercedilla (Madrid).\n\n. Sorolla estuvo en el mes de enero de 1901 en el estudio de escultura, posando de modelo durante veinte días para su amigo Causarás, que, además de esculpir su estatua, también esculpió aparte un busto-retrato de su cabeza, solamente en terracota, y el vaciado en yeso de la mano derecha de Sorolla en posición de pintar']","Joaquín Sorolla y Bastida falleció el 10 de agosto de 1923 en Cercedilla, Madrid.",Joaquín Sorolla falleció el 10 de agosto de 1923.,0.9999999999,1.0,0.67,1.0
